COSTS £ per sq ft NIA per annum,Net Effective Rent,Rates,Annualised costs,Hard FM,Soft FM,Management Fees,TOTAL /sq ft,Total per workstation,Net Effective Rent - 20-year old,Rates - 20-year old,Annualised costs - 20-year old,Hard FM - 20-year old,Soft FM - 20-year old,Management Fees - 20-year old,TOTAL /sq ft - 20-year old,Total per workstation - 20-year old
Aberdeen,30.06,10.44,9.90,23.99,11.78,2.03,88.21,8820.56,20.17,8.95,9.91,28.16,11.78,1.74,80.70,8070.12
Basingstoke,31.35,13.32,10.75,22.58,11.82,1.87,91.69,9169.29,17.33,10.27,10.76,27.09,11.82,1.57,78.84,7884.28
Belfast,22.95,11.30,9.90,21.19,11.49,1.75,78.59,7858.55,16.20,9.30,9.91,25.96,11.49,1.58,74.43,7443.41
Birmingham,39.19,15.90,9.90,22.01,11.99,2.19,101.18,10118.25,26.80,10.76,9.91,26.64,11.99,1.96,88.06,8805.80
Bournemouth,27.00,7.20,9.90,22.57,11.61,1.85,80.13,8013.14,17.85,5.76,9.91,27.11,11.61,1.70,73.93,7393.28
Bracknell,26.81,8.76,10.75,22.43,11.78,1.96,82.49,8249.26,19.80,7.72,10.76,26.89,11.78,1.70,78.64,7864.41
Brighton,39.60,10.00,10.75,22.69,11.91,2.19,97.15,9714.88,29.75,9.72,10.76,27.16,11.91,1.94,91.24,9123.78
Bristol,40.40,11.79,9.90,22.42,11.95,2.27,98.74,9873.66,36.75,9.98,9.91,26.95,11.95,2.05,97.59,9758.70
Cambridge,61.75,19.93,10.75,22.18,11.74,2.72,129.08,12908.12,37.00,17.10,10.76,26.73,11.74,2.23,105.56,10556.32
Cardiff,24.03,9.70,9.90,22.00,11.70,1.77,79.10,7910.30,17.17,9.11,9.91,26.53,11.70,1.51,75.93,7593.13
Crawley,33.25,11.39,10.75,22.39,11.74,1.84,91.36,9136.40,24.75,10.29,10.76,26.93,11.74,1.67,86.14,8613.74
Croydon,37.19,15.75,10.75,22.72,11.61,2.15,100.18,10018.18,28.44,14.18,10.76,27.09,11.61,1.91,93.99,9398.96
Edinburgh,43.32,13.02,9.90,24.30,11.91,2.38,104.83,10483.17,30.06,11.60,9.91,28.54,11.91,1.97,93.99,9399.21
Exeter,23.13,7.20,9.90,22.09,11.82,1.81,75.96,7595.67,19.89,5.35,9.91,26.58,11.82,1.70,75.24,7524.13
Farnborough,22.00,11.59,10.75,22.30,11.86,1.94,80.44,8044.16,30.94,9.26,10.76,26.73,11.86,1.69,91.25,9124.55
Glasgow,35.62,13.15,9.90,24.20,11.91,2.06,96.85,9684.83,25.75,8.21,9.91,28.52,11.91,1.90,86.19,8619.35
Guildford,39.19,15.07,10.75,22.75,11.86,2.19,101.81,10180.87,24.00,13.81,10.76,27.24,11.86,1.77,89.44,8944.24
Heathrow,37.19,14.63,10.75,23.18,12.07,2.15,99.98,9997.59,28.44,10.91,10.76,27.69,12.07,1.90,91.76,9176.19
High Wycombe,23.51,12.82,10.75,22.43,11.74,1.83,83.09,8309.09,17.33,4.94,10.76,26.91,11.74,1.64,73.32,7331.94
Leeds,39.31,11.91,9.90,21.91,11.82,2.10,96.95,9695.12,29.60,9.48,9.91,26.49,11.82,1.81,89.11,8910.82
Leicester,19.59,7.49,9.90,21.73,11.65,1.61,71.97,7196.88,15.26,5.53,9.91,26.33,11.65,1.57,70.25,7024.89
Liverpool,25.08,7.04,9.90,21.90,11.74,1.77,77.43,7742.91,16.50,6.72,9.91,26.47,11.74,1.61,72.95,7294.92
London - City,80.75,33.65,11.61,24.07,12.74,3.41,166.22,16621.77,44.00,23.01,11.61,28.47,12.74,2.48,122.31,12230.77
London - Docklands,43.60,25.37,11.61,24.14,12.45,2.57,119.73,11972.96,21.75,17.91,11.61,28.57,12.45,1.92,94.20,9420.42
London - Hammersmith,51.75,26.83,11.61,24.02,12.49,2.73,129.42,12942.05,33.00,25.24,11.61,28.42,12.49,2.19,112.96,11295.55
London - Midtown,72.19,24.38,11.61,24.11,12.74,3.33,148.36,14835.65,47.85,21.32,11.61,28.51,12.74,2.62,124.65,12465.09
London - Southbank,70.13,33.35,11.61,24.02,12.49,3.28,154.88,15488.32,42.90,23.91,11.61,28.44,12.49,2.53,121.88,12188.21
London - West End Core,148.75,58.64,11.61,24.30,12.78,4.95,261.03,26102.51,72.25,53.27,11.61,28.71,12.78,3.19,181.82,18181.66
London - West End Non Core,93.50,48.96,11.61,23.96,12.78,3.85,194.65,19465.49,59.50,31.30,11.61,28.37,12.78,2.99,146.54,14654.32
Luton,23.93,8.12,10.75,22.34,11.68,2.11,78.94,7893.67,22.50,7.90,10.76,26.89,11.68,1.93,81.66,8166.28
Maidenhead,43.31,17.23,10.75,22.49,11.65,2.22,107.65,10765.13,25.58,12.90,10.76,26.98,11.65,1.93,89.80,8979.72
Maidstone,30.06,9.87,10.75,22.49,11.61,1.84,86.62,8662.25,18.56,8.87,10.76,27.04,11.61,1.63,78.46,7846.25
Manchester,41.63,15.88,9.90,22.27,11.78,2.36,103.82,10382.14,29.75,11.43,9.91,26.91,11.78,2.03,91.81,9181.06
Milton Keynes,33.25,7.62,10.75,22.40,11.78,1.87,87.68,8767.58,25.44,5.66,10.76,26.98,11.78,1.75,82.37,8237.13
Newcastle,30.40,11.27,9.90,22.03,11.49,1.92,87.01,8701.33,24.05,9.97,9.91,26.59,11.49,1.79,83.79,8378.88
Northampton,20.25,6.70,9.90,21.97,11.40,1.72,71.94,7193.74,15.75,5.65,9.91,26.55,11.40,1.49,70.75,7074.71
Norwich,16.50,7.02,9.90,21.60,11.40,1.53,67.96,6796.06,13.20,5.67,9.91,26.23,11.40,1.43,67.84,6783.73
Nottingham,24.06,7.26,9.90,21.85,11.40,1.78,76.26,7625.86,16.50,4.48,9.91,26.47,11.40,1.60,70.36,7035.93
